ota/5186.txt	A simple story: In four volumes. By Mrs. Inchbald. [pt.1]	Inchbald, Mrs., 1753-1821.	1791	English	CC BY-SA	
ota/4577.txt	Celestina: A novel. In four volumes. By Charlotte Smith. ... [pt.4]	Smith, Charlotte Turner, 1749-1806.	1791	English	CC BY-SA	
ota/4576.txt	Celestina: A novel. In four volumes. By Charlotte Smith. ... [pt.3]	Smith, Charlotte Turner, 1749-1806.	1791	English	CC BY-SA	
ota/4575.txt	Celestina: A novel. In four volumes. By Charlotte Smith. ... [pt.2]	Smith, Charlotte Turner, 1749-1806.	1791	English	CC BY-SA	
ota/4574.txt	Celestina: A novel. In four volumes. By Charlotte Smith. ... [pt.1]	Smith, Charlotte Turner, 1749-1806.	1791	English	CC BY-SA	
ota/5255.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.7]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/5254.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.6]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/5253.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.5]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/5252.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.4]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/5251.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.3]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/5250.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.2]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/5249.txt	Anna St. Ives: a novel. By Thomas Holcroft. ... [pt.1]	Holcroft, Thomas, 1745-1809.	1792	English	CC BY-SA	
ota/4396.txt	The mysteries of Udolpho: a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ... In four volumes. ... [pt.4]	Radcliffe, Ann Ward, 1764-1823.	1794	English	CC BY-SA	
ota/4395.txt	The mysteries of Udolpho: a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ... In four volumes. ... [pt.1]	Radcliffe, Ann Ward, 1764-1823.	1794	English	CC BY-SA	
ota/4968.txt	Henry: in four volumes. By the author of Arundel. ... [pt.4]	Cumberland, Richard, 1732-1811.	1795	English	CC BY-SA	
ota/4967.txt	Henry: in four volumes. By the author of Arundel. ... [pt.3]	Cumberland, Richard, 1732-1811.	1795	English	CC BY-SA	
ota/4966.txt	Henry: in four volumes. By the author of Arundel. ... [pt.2]	Cumberland, Richard, 1732-1811.	1795	English	CC BY-SA	
ota/4965.txt	Henry: in four volumes. By the author of Arundel. ... [pt.1]	Cumberland, Richard, 1732-1811.	1795	English	CC BY-SA	
ota/5168.txt	The monk: a romance. In three volumes. ... [pt.3]	Lewis, M. G. (Matthew Gregory), 1775-1818.	1796	English	CC BY-SA	
